,location,geo_loc,lat,lon
0,Banashankari,"(12.9393328, 77.5539819)",12.9393328,77.5539819
1,Basavanagudi,"(12.9417261, 77.5755021)",12.9417261,77.5755021
2,Mysore Road,"(12.940155707303814, 77.52402630335858)",12.940155707303814,77.52402630335858
3,Jayanagar,"(12.9399039, 77.5826382)",12.9399039,77.5826382
4,Kumaraswamy Layout,"(12.9067683, 77.5595021)",12.9067683,77.5595021
5,Rajarajeshwari Nagar,"(12.9274413, 77.5155224)",12.9274413,77.5155224
7,Uttarahalli,"(12.9055682, 77.5455438)",12.9055682,77.5455438
8,JP Nagar,"(12.9096941, 77.5866067)",12.9096941,77.5866067
9,South ,"(12.98815675, 77.62260003796)",12.98815675,77.62260003796
10,City Market,"(12.965717999999999, 77.5762705372058)",12.965717999999999,77.5762705372058
11,Nagarbhavi,"(13.00196975, 77.52883895255425)",13.00196975,77.52883895255425
12,Bannerghatta Road,"(12.951855665820787, 77.60401135701308)",12.951855665820787,77.60401135701308
13,BTM,"(12.9163603, 77.604733)",12.9163603,77.604733
14,Kanakapura Road,"(12.937433733719828, 77.57532157942605)",12.937433733719828,77.57532157942605
15,Bommanahalli,"(12.90047193431856, 77.6330038372673)",12.90047193431856,77.6330038372673
16,CV Raman Nagar,"(12.985098650000001, 77.66311735)",12.985098650000001,77.66311735
17,Electronic City,"(12.848759900000001, 77.64825295827616)",12.848759900000001,77.64825295827616
18,HSR,"(12.90056335, 77.64947470503677)",12.90056335,77.64947470503677
19,Marathahalli,"(12.9552572, 77.6984163)",12.9552572,77.6984163
20,Sarjapur Road,"(12.924013794074499, 77.6530859615482)",12.924013794074499,77.6530859615482
21,Wilson Garden,"(12.9489339, 77.5968273)",12.9489339,77.5968273
22,Shanti Nagar,"(12.9575547, 77.5979099)",12.9575547,77.5979099
23,Koramangala 5th Block,"(12.9348429, 77.6189768)",12.9348429,77.6189768
24,Koramangala 8th Block,"(12.9408685, 77.617338)",12.9408685,77.617338
25,Richmond Road,"(12.970046503824042, 77.61697208567577)",12.970046503824042,77.61697208567577
26,Jalahalli,"(13.0394104, 77.5197351)",13.0394104,77.5197351
27,Koramangala 7th Block,"(12.9364846, 77.6134783)",12.9364846,77.6134783
28,Koramangala 4th Block,"(12.9327778, 77.6294052)",12.9327778,77.6294052
29,Bellandur,"(12.93103185, 77.6782471)",12.93103185,77.6782471
30,Whitefield,"(12.9696365, 77.7497448)",12.9696365,77.7497448
31,East ,"(12.98815675, 77.62260003796)",12.98815675,77.62260003796
32,Old Airport Road,"(12.9606321, 77.64249975)",12.9606321,77.64249975
33,Indiranagar,"(12.9962979, 77.5452778)",12.9962979,77.5452778
34,Koramangala 1st Block,"(12.9277245, 77.6327822)",12.9277245,77.6327822
35,Frazer Town,"(12.9986827, 77.615525)",12.9986827,77.615525
36,RT Nagar,"(13.0227204, 77.595715)",13.0227204,77.595715
37,Brigade Road,"(12.972130698784724, 77.6070157287404)",12.972130698784724,77.6070157287404
38,Church Street,"(12.975700066194872, 77.60208311450552)",12.975700066194872,77.60208311450552
39,Residency Road,"(12.971195095841258, 77.60543949905883)",12.971195095841258,77.60543949905883
40,Lavelle Road,"(12.972227072739638, 77.59866491535907)",12.972227072739638,77.59866491535907
41,Shivajinagar,"(12.986391, 77.6075416)",12.986391,77.6075416
42,Infantry Road,"(12.982966688666712, 77.59650883259856)",12.982966688666712,77.59650883259856
43,MG Road,"(12.9755264, 77.6067902)",12.9755264,77.6067902
44,Cunningham Road,"(12.990433971145098, 77.59082718947293)",12.990433971145098,77.59082718947293
45,St. Marks Road,"(12.975801449285402, 77.60169240479877)",12.975801449285402,77.60169240479877
46,Ulsoor,"(12.9778793, 77.6246697)",12.9778793,77.6246697
47,Commercial Street,"(12.982242261028464, 77.60826495187648)",12.982242261028464,77.60826495187648
48,Vasanth Nagar,"(12.9934283, 77.5902145)",12.9934283,77.5902145
49,HBR Layout,"(13.0358698, 77.6323597)",13.0358698,77.6323597
50,Race Course Road,"(12.983856079729964, 77.58023300041461)",12.983856079729964,77.58023300041461
51,Domlur,"(12.9624669, 77.6381958)",12.9624669,77.6381958
52,Ejipura,"(12.9467081, 77.6286805)",12.9467081,77.6286805
53,Jeevan Bhima Nagar,"(12.9678074, 77.6568367)",12.9678074,77.6568367
54,Old Madras Road,"(12.98571175, 77.6450805)",12.98571175,77.6450805
55,Malleshwaram,"(13.0027353, 77.5703253)",13.0027353,77.5703253
56,Seshadripuram,"(12.9931876, 77.5753419)",12.9931876,77.5753419
57,Kammanahalli,"(13.0093455, 77.6377094)",13.0093455,77.6377094
58,Koramangala 6th Block,"(12.9390255, 77.6238477)",12.9390255,77.6238477
59,Majestic,"(12.9783547, 77.5728609)",12.9783547,77.5728609
60,Langford Town,"(12.957998, 77.6037312)",12.957998,77.6037312
61,Central ,"(12.97339325, 77.61124684880099)",12.97339325,77.61124684880099
62,Sanjay Nagar,"(12.9578658, 77.6958748)",12.9578658,77.6958748
63,Brookefield,"(12.96381425, 77.72243691580387)",12.96381425,77.72243691580387
64,"ITPL Main Road, Whitefield","(12.9688497, 77.7168965231575)",12.9688497,77.7168965231575
65,"Varthur Main Road, Whitefield","(12.95825925, 77.7453915437321)",12.95825925,77.7453915437321
66,KR Puram,"(13.007516, 77.695935)",13.007516,77.695935
67,Koramangala 2nd Block,"(12.9243692, 77.6242433)",12.9243692,77.6242433
68,Koramangala 3rd Block,"(12.9282918, 77.6254034)",12.9282918,77.6254034
69,Koramangala,"(12.9400187, 77.6244529)",12.9400187,77.6244529
70,Hosur Road,"(12.965559785121442, 77.60682973224074)",12.965559785121442,77.60682973224074
71,Rajajinagar,"(13.0005359, 77.5496996)",13.0005359,77.5496996
72,Banaswadi,"(13.0058357, 77.6281321)",13.0058357,77.6281321
73,North ,"(12.98815675, 77.62260003796)",12.98815675,77.62260003796
74,Nagawara,"(13.0422794, 77.6248577)",13.0422794,77.6248577
75,Hennur,"(13.0258087, 77.6305067)",13.0258087,77.6305067
76,Kalyan Nagar,"(13.0221416, 77.6403368)",13.0221416,77.6403368
77,New BEL Road,"(13.026398235874993, 77.57183477342015)",13.026398235874993,77.57183477342015
78,Jakkur,"(13.0724567, 77.6041563)",13.0724567,77.6041563
80,Thippasandra,"(12.973936, 77.6509982)",12.973936,77.6509982
81,Kaggadasapura,"(12.9846713, 77.6790908)",12.9846713,77.6790908
82,Kengeri,"(12.9176571, 77.4837568)",12.9176571,77.4837568
84,Basaveshwara Nagar,"(12.99118045, 77.54489175084052)",12.99118045,77.54489175084052
85,Yeshwantpur,"(13.02383, 77.5529215)",13.02383,77.5529215
86,West ,"(13.0096524, 77.5530535343493)",13.0096524,77.5530535343493
87,Magadi Road,"(12.975608, 77.5553564)",12.975608,77.5553564
88,Yelahanka,"(12.98815675, 77.62260003796)",12.98815675,77.62260003796
89,Sankey Road,"(13.00819200134182, 77.57214260977713)",13.00819200134182,77.57214260977713
90,Sahakara Nagar,"(13.0621474, 77.58006135480495)",13.0621474,77.58006135480495
91,Hebbal,"(13.0382184, 77.5919)",13.0382184,77.5919
92,Peenya,"(13.0330515, 77.5332233)",13.0330515,77.5332233
